id,t,site,variable,value,error,status_code,url
LAWA-103579_SQ34846_NH4N_2024-04-23T14:07:00,2024-04-23T14:07:00,SQ34846,Ammoniacal Nitrogen,<0.01,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=Ammoniacal Nitrogen
LAWA-103579_SQ34846_CHLA_2024-04-23T14:07:00,2024-04-23T14:07:00,SQ34846,Chlorophyll a (planktonic),2.4,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=Chlorophyll a (planktonic)
LAWA-103579_SQ34846_ECOLI_2024-04-23T14:17:00,2024-04-23T14:17:00,SQ34846,E. coli,9,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=E. coli
LAWA-103579_SQ34846_TN_2024-04-23T14:07:00,2024-04-23T14:07:00,SQ34846,Total Nitrogen,0.53,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=Total Nitrogen
LAWA-103588_SQ34887_NH4N_2024-04-23T12:35:00,2024-04-23T12:35:00,SQ34887,Ammoniacal Nitrogen,0.014,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=Ammoniacal Nitrogen
LAWA-103579_SQ34846_TP_2024-04-23T14:07:00,2024-04-23T14:07:00,SQ34846,Total Phosphorus,0.009,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34846&Measurement=Total Phosphorus
LAWA-103588_SQ34887_CHLA_2024-04-23T12:35:00,2024-04-23T12:35:00,SQ34887,Chlorophyll a (planktonic),24,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=Chlorophyll a (planktonic)
LAWA-103588_SQ34887_TN_2024-04-23T12:35:00,2024-04-23T12:35:00,SQ34887,Total Nitrogen,1.73,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=Total Nitrogen
LAWA-103588_SQ34887_TP_2024-04-23T12:35:00,2024-04-23T12:35:00,SQ34887,Total Phosphorus,0.063,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ34887&Measurement=Total Phosphorus
LAWA-103591_SQ35082_ECOLI_2024-04-23T15:27:00,2024-04-23T15:27:00,SQ35082,E. coli,<10,,200,http://wateruse.ecan.govt.nz/wqlawa.hts?service=Hilltop&Agency=LAWA&request=GetData&From=2024-04-23&To=2030-01-01&Site=SQ35082&Measurement=E. coli
